supplier_id,name,carbon_footprint,recycling_rate,energy_efficiency,water_usage,waste_production,ISO_14001,Fair_Trade,Organic,B_Corp,Rainforest_Alliance,location,industry
29,Supplier 29,633.1731119758382,46.884929640820445,50.31284587390358,9373.626888493673,447.1028120367855,1,0,1,0,1,North America,Textiles
30,Supplier 30,141.80537144799794,28.690179464384727,72.98362861599045,1461.457347045333,319.2579267386588,1,0,0,0,0,Asia,Food
31,Supplier 31,646.7903667112945,84.73275694066952,68.78349514169506,3476.5568753975595,399.45753873540775,1,0,0,0,1,Asia,Food
32,Supplier 32,253.47171131856237,66.74735951206685,59.99485147118286,1223.3878602818318,256.2921756215442,0,1,1,1,1,North America,Chemicals
33,Supplier 33,158.54643368675156,44.81735186394869,55.393941530015724,9254.466820957772,292.68290346691595,0,0,1,1,0,Africa,Textiles
34,Supplier 34,953.9969835279999,24.76687627145177,65.19268271316326,8785.659598471711,251.33366997124332,0,0,1,0,1,North America,Textiles
35,Supplier 35,969.0688297671035,43.32367412867467,92.43093667606337,2653.6221143800403,105.6690640210418,0,0,1,0,0,Europe,Textiles
36,Supplier 36,827.557613304815,44.38874915200603,64.54413194093398,6633.842055738372,364.0015364781376,0,0,1,1,1,North America,Textiles
37,Supplier 37,374.15239225603364,74.7204633753548,73.34557797845147,8190.499781992036,147.57845759601935,0,1,0,0,0,Asia,Food
38,Supplier 38,187.90490260574546,67.81681035164098,81.635853150283,5596.488034834677,21.914823551412383,0,1,0,1,0,North America,Food
39,Supplier 39,715.8097238609412,86.54095569322449,66.36333210706823,5343.540725724464,326.28142499451224,0,0,1,1,1,Africa,Textiles
40,Supplier 40,496.13724436564115,55.416119387146196,93.73019372244323,2494.3376799144717,96.78423290945398,0,0,1,0,1,South America,Chemicals
41,Supplier 41,209.83441136030095,28.96956844537263,93.310128272395,1021.7174012784022,470.82470633292803,0,0,1,0,0,North America,Electronics
42,Supplier 42,545.6592191001432,73.49335904172463,61.330203312141386,8982.436003737936,477.4250027312678,0,0,0,1,1,Africa,Electronics
43,Supplier 43,130.94966900369656,77.05887864626732,72.37618276515735,9014.138765916972,458.2835512080198,1,0,0,0,0,Africa,Chemicals
44,Supplier 44,918.3883618709039,62.095789817712216,63.53952394175464,6367.704427005353,191.37776312516775,0,0,1,0,0,Asia,Textiles
45,Supplier 45,332.9019834400152,77.82253849659207,62.81782224698604,3456.3949313821367,17.57374209914504,0,0,0,1,0,Africa,Food
46,Supplier 46,696.2700559185838,57.03466972732931,51.659912630953976,3557.174788665343,464.87609566798545,0,1,1,1,0,Africa,Electronics
47,Supplier 47,380.53996848046984,59.20496220364956,77.43039502909537,7286.961220815369,219.81023267548403,1,1,1,1,0,Africa,Manufacturing
48,Supplier 48,568.0612190600298,52.06557637689122,72.62055604529877,8981.391573530513,483.6608613313981,0,0,0,1,0,Africa,Manufacturing
49,Supplier 49,592.0392514089517,21.90643450580714,52.31654380624952,8882.155600224662,482.1737887737339,1,0,1,0,1,Europe,Chemicals
50,Supplier 50,266.36900997297437,28.091857024497834,62.539090890647515,7820.767903990476,427.97463317900645,0,1,1,0,1,Europe,Textiles
